X,Y,fid,codi_centre,tipus_centre,nom_centre,nom_municipi,nom_naturalesa,al_eso_n1,al_eso_n2,al_eso_n3,al_eso_n4,gr_eso_n1,gr_eso_n2,gr_eso_n3,gr_eso_n4,icon_url
2.54724623547972,41.5856672970899,1,"08000131",,La Presentació,Arenys de Mar,Privat,91,89,92,86,3,3,3,3,./0.png
1.95268166428798,41.7978649945255,2,"08000220",,Vedruna Artés,Artés,Privat,29,28,29,28,1,1,1,1,./0.png
2.23935128684694,41.4436088510817,3,"08000499",,Sant Domènec Savio,Badalona,Privat,86,92,90,91,3,3,3,3,./0.png
2.24654738656257,41.4488548570532,4,"08000517",,Sant Andreu,Badalona,Privat,85,92,93,88,3,3,3,3,./0.png
2.24461092906582,41.45163908758,5,"08000578",,Nen Jesús de Praga,Badalona,Privat,28,32,33,29,1,1,1,1,./0.png
2.24456468516249,41.4477965995072,6,"08000700",,Maristes Champagnat,Badalona,Privat,87,91,90,90,3,3,3,3,./0.png
2.24608418527047,41.4474150732727,7,"08000761",,Badalonès,Badalona,Privat,90,94,93,92,3,3,3,3,./0.png
2.22341056212491,41.4490593914352,8,"08000827",,Jesús Maria,Badalona,Privat,62,62,60,60,2,2,2,2,./0.png
2.22059993231092,41.4365158176381,9,"08000864",,Cultural,Badalona,Privat,61,62,60,61,2,2,2,2,./0.png
2.24682102225509,41.4523429667048,10,"08000918",,Cultural,Badalona,Privat,94,88,90,89,3,3,3,3,./0.png
2.22398035196601,41.4393189338777,11,"08000921",,Arrels-Esperança,Badalona,Privat,98,99,90,86,3,3,3,3,./0.png
2.25282541559377,41.4752406091431,12,"08000943",,Garbí Pere Vergés,Badalona,Privat,61,59,60,59,2,2,2,2,./0.png
2.24393933081365,41.4450322692922,13,"08000967",,Betúlia,Badalona,Privat,30,31,30,30,1,1,1,1,./0.png
2.21617402305859,41.4387647758974,14,"08000980",,Ramiro de Maeztu,Badalona,Privat,29,30,31,31,1,1,1,1,./0.png
2.21653231281218,41.4411226199128,15,"08001066",,Maria Ward,Badalona,Privat,62,63,60,56,2,2,2,2,./0.png
2.22826807118006,41.4382938959558,16,"08001108",,Mare de Déu de l'Assumpció,Badalona,Privat,87,92,92,91,3,3,3,3,./0.png
2.24809841094613,41.4615499048728,17,"08001133",,Arrels-Blanquerna,Badalona,Privat,30,28,28,25,1,1,1,1,./0.png
2.22250247132982,41.4340023503748,18,"08001145",,Lestonnac,Badalona,Privat,40,50,54,60,2,2,2,2,./0.png
2.25442438075124,41.4508309371893,19,"08001157",,Minguella,Badalona,Privat,57,61,58,54,2,2,2,2,./0.png
2.22040398902311,41.432622978694,20,"08001170",,Santíssima Trinitat,Badalona,Privat,28,30,29,57,1,1,1,2,./0.png
2.2388129639193,41.4457257957256,21,"08001297",,Laietània,Badalona,Privat,30,32,31,30,1,1,1,1,./0.png
2.23936806147788,41.4523212041177,22,"08001421",Institut,La Pineda,Badalona,Públic,80,73,85,106,3,3,3,4,./0.png
2.24565300578887,41.4569224018624,23,"08001431",Institut,Isaac Albéniz,Badalona,Públic,112,118,121,113,4,4,4,4,./0.png
2.22372732638218,41.4354452870148,24,"08001443",Institut,Eugeni d'Ors,Badalona,Públic,61,79,89,104,3,3,3,3,./0.png
2.16795134786422,41.4407119298738,25,"08003014",,Jesús Maria,Barcelona,Privat,65,65,65,65,2,2,2,2,./0.png
2.16219959851251,41.3720787912605,26,"08003361",,Maristes Anna Ravell,Barcelona,Privat,75,92,87,86,3,3,3,3,./0.png
2.15639958315326,41.377190176183,27,"08003543",,Salesià de Sant Josep,Barcelona,Privat,91,89,92,114,3,3,3,4,./0.png
2.1063529652773,41.3878191839146,28,"08003816",,Thau,Barcelona,Privat,101,97,98,102,3,3,3,3,./0.png
2.13237557114256,41.4061997582622,29,"08003907",,La Salle Bonanova,Barcelona,Privat,132,126,120,112,4,4,4,4,./0.png
2.1331431505753,41.4110356588181,30,"08003993",,Canigó,Barcelona,Privat,64,59,60,65,2,2,2,2,./0.png
2.12272002650315,41.401795055846,31,"08004031",,Sant Marc de Sarrià,Barcelona,Privat,27,28,32,29,1,1,1,1,./0.png
2.12149246702424,41.4029316690503,32,"08004067",,Jesuïtes Sarrià - Sant Ignasi,Barcelona,Privat,174,176,180,170,6,6,6,6,./0.png
2.13516800150515,41.4130333060581,33,"08004080",,Sil,Barcelona,Privat,51,55,59,59,2,2,2,2,./0.png
2.12116294020866,41.3929622142373,34,"08004122",,Sagrado Corazón,Barcelona,Privat,54,49,57,53,2,2,2,2,./0.png
2.17330755351153,41.3947253979327,35,"08004171",,Santa Anna-Eixample,Barcelona,Privat,32,31,32,29,1,1,1,1,./0.png
2.12516810593645,41.4124163438503,36,"08004195",,Sant Gregori,Barcelona,Privat,52,58,57,60,2,2,2,2,./0.png
2.13365396956885,41.3997856870613,37,"08004201",,Santa Teresa - Ganduxer,Barcelona,Privat,83,81,84,86,3,3,3,3,./0.png
2.10573364554304,41.3888113390082,38,"08004225",,St. Peter's School,Barcelona,Privat,54,40,39,46,,,,,./0.png
2.12468584019899,41.4069075518734,39,"08004286",,Escola Pia de Sarrià-Calassanç,Barcelona,Privat,122,108,120,144,4,4,4,5,./0.png
2.10498451011849,41.3918727856581,40,"08004390",,Sant Pau,Barcelona,Privat,58,61,61,52,2,2,2,2,./0.png
2.10921585334309,41.3973455586458,41,"08004511",,Betània-Patmos,Barcelona,Privat,99,88,90,82,3,3,3,3,./0.png
2.10702522953495,41.3934718154722,42,"08004559",,Abat Oliba-Loreto,Barcelona,Privat,78,89,90,90,3,3,3,3,./0.png
2.14924315876701,41.3971517667417,43,"08004626",,Jesuïtes Sant Gervasi - Infant Jesús,Barcelona,Privat,91,88,81,89,3,3,3,3,./0.png
2.12578265318139,41.3974907167293,44,"08004705",,Reial Monestir de Santa Isabel,Barcelona,Privat,102,114,107,108,4,4,4,4,./0.png
2.11897899296184,41.4006437236289,45,"08004717",,Sagrat Cor-Sarrià,Barcelona,Privat,109,112,118,114,4,4,4,4,./0.png
2.13411450195952,41.4083950728815,46,"08004742",,Jesús i Maria,Barcelona,Privat,88,89,99,83,3,3,3,3,./0.png
2.12885687521084,41.3935447453579,47,"08004778",,Santa Dorotea,Barcelona,Privat,61,56,60,60,2,2,2,2,./0.png
2.11700344106272,41.406606070784,48,"08004808",,Casa del Roure,Barcelona,Privat,72,75,71,76,,,,,./0.png
2.14932175388629,41.4048938663672,49,"08004900",,Madres Concepcionistas de la Enseñanza,Barcelona,Privat,40,49,57,56,2,2,2,2,./0.png
2.11103475899066,41.409087504098,50,"08004912",,Montserrat,Barcelona,Privat,60,57,59,52,2,2,2,2,./0.png
2.13410750295832,41.4179389044888,51,"08005072",,Sadako,Barcelona,Privat,66,63,65,61,2,2,2,2,./0.png
2.17522076050061,41.3879549067041,52,"08005102",,La Salle Comtal,Barcelona,Privat,66,66,58,60,2,2,2,2,./0.png
2.17527707443705,41.3935297319928,53,"08005114",,Mare del Diví Pastor,Barcelona,Privat,22,23,27,27,1,1,1,1,./0.png
2.15803897406016,41.3725038879128,54,"08005151",,Sant Francesc Xavier,Barcelona,Privat,16,21,25,25,1,1,1,1,./0.png
2.17116006618811,41.3899160294879,55,"08005199",,Jesuïtes Casp - Sagrat Cor de Jesús,Barcelona,Privat,154,157,159,154,5,5,5,5,./0.png
2.16340939743144,41.3895079577763,56,"08005205",,Pérez Iborra,Barcelona,Privat,18,27,26,25,,,,,./0.png
2.16797454146578,41.3912405600613,57,"08005242",,Escola Pia de Nostra Senyora,Barcelona,Privat,57,60,63,60,2,2,2,2,./0.png
2.17373959093806,41.3952830727281,58,"08005266",,Sagrat Cor-Diputació,Barcelona,Privat,87,92,90,94,3,3,3,3,./0.png
2.15729955527606,41.4142527297019,59,"08005370",,Jesuïtes Gràcia - Kostka,Barcelona,Privat,127,127,124,122,4,4,4,4,./0.png
2.16828167059051,41.3937441231531,60,"08005382",,Escolàpies Llúria-Barcelona,Barcelona,Privat,59,61,60,55,2,2,2,2,./0.png
2.16667016476276,41.3929229670897,61,"08005394",,Lestonnac,Barcelona,Privat,89,90,92,97,3,3,3,3,./0.png
2.13708003794549,41.4124853075087,62,"08005412",,Lleó XIII,Barcelona,Privat,50,59,51,65,2,2,2,2,./0.png
2.17148210184851,41.4006934536093,63,"08005436",,Dominiques Barcelona,Barcelona,Privat,94,87,93,89,3,3,3,3,./0.png
2.16355655212062,41.3964378937639,64,"08005473",,San Nicolás,Barcelona,Privat,29,30,31,30,1,1,1,1,./0.png
2.17204413142156,41.3990177553979,65,"08005564",,Maristes La Immaculada,Barcelona,Privat,94,94,98,85,3,3,3,3,./0.png
2.16768930871075,41.3831737224077,66,"08005618",,Vedruna Àngels Barcelona,Barcelona,Privat,33,33,32,33,1,1,1,1,./0.png
2.16396442018559,41.3782811039209,67,"08005746",,Escola Pia Sant Antoni,Barcelona,Privat,117,116,119,131,4,4,4,4,./0.png
2.14986734670089,41.391975568489,68,"08005761",,IPSE,Barcelona,Privat,43,58,62,54,2,2,2,2,./0.png
2.16154615736093,41.3922503790238,69,"08005771",,Sagrat Cor-Esclaves,Barcelona,Privat,60,57,59,57,2,2,2,2,./0.png
2.15820990990681,41.3852800087682,70,"08005801",,Mare de Déu del Roser,Barcelona,Privat,58,58,59,59,2,2,2,2,./0.png
2.13940989692347,41.3714558076919,71,"08006118",,Proa,Barcelona,Privat,66,65,66,61,2,2,2,2,./0.png
2.12936106114414,41.3747253579456,72,"08006143",,Josep Tous,Barcelona,Privat,63,59,60,64,2,2,2,2,./0.png
2.13786873692718,41.36990178464,73,"08006209",,Sant Medir,Barcelona,Privat,30,32,30,32,1,1,1,1,./0.png
2.13792593293962,41.3747554180604,74,"08006490",,Montserrat,Barcelona,Privat,64,63,64,62,2,2,2,2,./0.png
2.13482336694716,41.3829523997848,75,"08006532",,Maristes Sants - les Corts,Barcelona,Privat,165,165,164,165,5,5,5,5,./0.png
2.14280123359998,41.4184661937352,76,"08006702",,Inglés,Barcelona,Privat,9,14,13,14,,,,,./0.png
2.15176369731718,41.4183082147058,77,"08006751",,Virolai,Barcelona,Privat,99,96,99,98,3,3,3,3,./0.png
2.15157041595764,41.4046061966767,78,"08006908",,Vedruna Gràcia Barcelona,Barcelona,Privat,59,65,64,61,2,2,2,2,./0.png
2.16227799687377,41.4166041254911,79,"08006945",,Acis-Artur Martorell,Barcelona,Privat,26,30,30,28,1,1,1,1,./0.png
2.15534759263401,41.4023343779878,80,"08006970",,Sant Josep,Barcelona,Privat,25,15,41,41,2,2,2,2,./0.png
2.16538033123427,41.4058135323625,81,"08006994",,Sant Josep-Teresianes,Barcelona,Privat,57,60,62,60,2,2,2,2,./0.png
2.15495161458282,41.4069621195555,82,"08007032",,La Salle Gràcia,Barcelona,Privat,52,60,56,61,2,2,2,2,./0.png
2.1752331559333,41.4431167871412,83,"08007445",,Escola Pia-Luz Casanova,Barcelona,Privat,32,32,28,28,1,1,1,1,./0.png
